applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,127444,127444,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,csm,263069d8-6a50-499c-953a-78cc45302961
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,32,32,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,csm,263069d8-6a50-499c-953a-78cc45302961
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,127444,127444,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,csm,263069d8-6a50-499c-953a-78cc45302961
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,127476,127476,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,csm,263069d8-6a50-499c-953a-78cc45302961
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,127444,127444,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,csm,263069d8-6a50-499c-953a-78cc45302961
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,126337,126337,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,27,27,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,126337,126337,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,126364,126364,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,126337,126337,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
