metric_name,comparison,paired_sample_count,mean_difference,median_difference,effect_size,raw_p_value,adjusted_p_value,ci_low,ci_high,test_result,reason
hallucination_rate,csm_v4_vs_long_context,52,0.19871794871794873,-0.0,0.5336590974221638,0.000274658203125,0.000860595703125,0.10416666666666664,0.30212339743589745,computed,NULL
hallucination_rate,csm_v4_vs_rolling_summary,57,-0.031578947368421054,-0.0,-0.19404299491180207,0.625,0.7445276497695853,-0.076359649122807,0.0035087719298245615,computed,NULL
hallucination_rate,csm_v4_vs_dense_rag,59,0.011299435028248586,-0.0,0.05069583390232987,1.0,1.0,-0.04103107344632768,0.06214689265536723,computed,NULL
hallucination_rate,csm_v4_vs_hybrid_rag,59,-0.01129943502824859,-0.0,-0.06467762438095861,1.0,1.0,-0.05798022598870056,0.029731638418079027,computed,NULL
hallucination_rate,csm_v4_vs_graph_rag,60,-0.030555555555555558,-0.0,-0.19346294823920976,0.625,0.742816091954023,-0.075,0.002777777777777777,computed,NULL
hallucination_rate,csm_v4_vs_hippo_rag,59,-0.02259887005649718,-0.0,-0.1540831118992655,1.0,1.0,-0.066454802259887,0.005649717514124294,computed,NULL
hallucination_rate,csm_v4_vs_csm,59,0.01694915254237288,-0.0,0.07473631097891117,0.6875,0.7898611111111111,-0.03389830508474576,0.07627118644067797,computed,NULL
hallucination_rate,csm_v4_vs_csm_v3,56,0.08035714285714286,-0.0,0.3575986426464246,0.0078125,0.01641895325203252,0.026785714285714284,0.1444196428571428,computed,NULL
lineage_citation_f1,csm_v4_vs_long_context,45,0.11574955908289244,0.0,0.6495340365978451,7.62939453125e-05,0.0002578037237030229,0.06355447330447331,0.1732478755812089,computed,NULL
lineage_citation_f1,csm_v4_vs_rolling_summary,58,0.10069972289909869,0.007575757575757569,0.36085889625637196,0.2528697301676033,0.35333419053148896,0.029113928397002185,0.17246597884956238,computed,NULL
lineage_citation_f1,csm_v4_vs_dense_rag,58,-0.058139097308153746,0.0,-0.2753459436646908,0.2220528201560228,0.32157229137440835,-0.11372851683728996,-0.0018496385544782288,computed,NULL
lineage_citation_f1,csm_v4_vs_hybrid_rag,58,-0.12419616949355443,-0.01515151515151511,-0.6529669632546398,0.0007528970600105822,0.0020168278757796425,-0.17464837402402567,-0.07724298744228549,computed,NULL
lineage_citation_f1,csm_v4_vs_graph_rag,59,-0.11782926726910127,-0.047619047619047616,-0.6568918494005878,0.0006061066312668117,0.0016492480440260088,-0.16311681786478543,-0.07310065284741991,computed,NULL
lineage_citation_f1,csm_v4_vs_hippo_rag,59,-0.12160914323564302,-0.047619047619047616,-0.5985493744208594,0.0012600338162656044,0.003162317878686007,-0.1714698272805001,-0.0717655028235162,computed,NULL
lineage_citation_f1,csm_v4_vs_csm,56,0.09591499929921588,0.0,0.6413327006356802,0.0003240634687244892,0.0009913657593524315,0.057824315301633865,0.13447033457294114,computed,NULL
lineage_citation_f1,csm_v4_vs_csm_v3,50,0.14584659784659784,0.0,0.8079001373474044,1.9431114196777344e-05,6.69725735982259e-05,0.09628733211233212,0.1928614746364746,computed,NULL
memory_update_accuracy,csm_v4_vs_long_context,12,0.25833333333333336,0.0,0.6369971681980529,0.125,0.19583333333333333,0.041666666666666664,0.475,computed,NULL
memory_update_accuracy,csm_v4_vs_rolling_summary,12,0.2916666666666667,0.0,0.6479058044686546,0.125,0.1952416918429003,0.08333333333333333,0.5416666666666666,computed,NULL
memory_update_accuracy,csm_v4_vs_dense_rag,12,0.25,0.0,0.40219983326992187,0.375,0.4859022556390977,-0.08333333333333333,0.5833333333333334,computed,NULL
memory_update_accuracy,csm_v4_vs_hybrid_rag,12,0.16666666666666666,0.0,0.4281744192888376,0.5,0.616945107398568,0.0,0.4166666666666667,computed,NULL
memory_update_accuracy,csm_v4_vs_graph_rag,12,0.125,0.0,0.2886751345948129,1.0,1.0,-0.125,0.375,computed,NULL
memory_update_accuracy,csm_v4_vs_hippo_rag,12,-0.08333333333333333,0.0,-0.16183471874253738,1.0,1.0,-0.3333333333333333,0.16666666666666666,computed,NULL
memory_update_accuracy,csm_v4_vs_csm,12,0.20833333333333334,0.0,0.5254563898847199,0.25,0.3502710027100271,0.0,0.4385416666666657,computed,NULL
memory_update_accuracy,csm_v4_vs_csm_v3,12,0.2916666666666667,0.0,0.6479058044686546,0.125,0.19465361445783133,0.08333333333333333,0.5416666666666666,computed,NULL
offline_csm_update_cost,csm_v4_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
offline_csm_update_cost,csm_v4_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
offline_csm_update_cost,csm_v4_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
offline_csm_update_cost,csm_v4_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
offline_csm_update_cost,csm_v4_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
offline_csm_update_cost,csm_v4_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
offline_csm_update_cost,csm_v4_vs_csm,60,0.0,-0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
offline_csm_update_cost,csm_v4_vs_csm_v3,60,0.0,-0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
online_query_cost,csm_v4_vs_long_context,60,-0.00034011500000000005,-0.0003459,-1.321396863049962,6.253851603243987e-14,7.885954338724735e-13,-0.00040581762499999994,-0.0002798728125,computed,NULL
online_query_cost,csm_v4_vs_rolling_summary,60,-0.00011765499999999994,-0.00011265,-0.40798217858000724,0.00013451408092849532,0.0004457934605130261,-0.00019861431249999998,-4.6486500000000016e-05,computed,NULL
online_query_cost,csm_v4_vs_dense_rag,60,-0.0002172824999999999,-0.00022139999999999996,-0.8150599842271277,7.671918274276823e-10,4.3586612613199095e-09,-0.00028963237500000003,-0.00014390918750000004,computed,NULL
online_query_cost,csm_v4_vs_hybrid_rag,60,-0.00019934749999999998,-0.00019132499999999997,-0.803282590055807,3.085035609438902e-08,1.4906200094204788e-07,-0.00026730293749999996,-0.00014479756250000014,computed,NULL
online_query_cost,csm_v4_vs_graph_rag,60,-0.000198905,-0.00021397499999999998,-0.7857050466065891,5.205691473372798e-09,2.7185277694280164e-08,-0.0002682845625,-0.00014292712499999998,computed,NULL
online_query_cost,csm_v4_vs_hippo_rag,60,-0.00019058000000000006,-0.00021119999999999998,-0.7143290669161072,3.085035609438902e-08,1.4768179722962152e-07,-0.000257979625,-0.00012806700000000002,computed,NULL
online_query_cost,csm_v4_vs_csm,60,-8.38125e-05,-0.0001137,-0.29720540640163595,0.0010657657791434353,0.002796958922929726,-0.0001553663125,-1.1759624999999985e-05,computed,NULL
online_query_cost,csm_v4_vs_csm_v3,60,-0.00015999749999999995,-0.00011947500000000007,-0.6046787157632687,0.00013451408092849532,0.0004429540117199495,-0.0002317573125,-9.780237499999998e-05,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_long_context,60,-90233.18333333333,-58831.0,-1.1100713047644888,3.1762786845135338e-15,6.081985481087026e-14,-110525.78708333333,-68760.90166666667,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_rolling_summary,60,-48824.65,-46595.0,-0.8798784678169409,0.00039404324272610154,0.0011913471139730672,-62072.112916666665,-35096.16750000001,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_dense_rag,60,-55477.96666666667,-2836.0,-0.6325124008662893,0.5189580031896518,0.6342820038984633,-77381.71041666667,-32235.057916666672,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_hybrid_rag,60,-42780.98333333333,4164.0,-0.4606478009385036,0.36629400670329104,0.4868226258755822,-66859.87458333334,-19750.170833333348,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_graph_rag,60,1447.7666666666667,13357.5,0.02312230597335357,0.1550019040032606,0.23779223848571432,-14882.95125,16528.747083333332,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_hippo_rag,60,-3611.7833333333333,9569.5,-0.06281950772354104,0.2450608330229457,0.34902603491146816,-18794.501666666667,10621.865416666657,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_csm,60,-13767.9,-23077.0,-0.240591920255506,0.027340133868077935,0.05102833649745954,-28717.370833333334,76.87083333333034,computed,NULL
operational_wall_clock_latency_ms,csm_v4_vs_csm_v3,60,-77530.25,-45036.5,-1.3901677515304949,3.1762786845135338e-15,5.864771713905347e-14,-91926.57166666666,-62444.740416666675,computed,NULL
p95_latency,csm_v4_vs_long_context,60,-90205.95,-58818.5,-1.1097170858693224,3.1762786845135338e-15,5.473786932978323e-14,-110499.80500000001,-68734.0975,computed,NULL
p95_latency,csm_v4_vs_rolling_summary,60,-48799.3,-46570.5,-0.8793680118929329,0.00039404324272610154,0.0011844206772639214,-62049.11541666666,-35071.54375000001,computed,NULL
p95_latency,csm_v4_vs_dense_rag,60,-55475.53333333333,-2843.0,-0.6324718615465983,0.5189580031896518,0.6327860557760613,-77381.00083333332,-32232.26208333334,computed,NULL
p95_latency,csm_v4_vs_hybrid_rag,60,-42778.76666666667,4153.0,-0.4606201928763358,0.36629400670329104,0.4843324845667557,-66858.125,-19748.485416666685,computed,NULL
p95_latency,csm_v4_vs_graph_rag,60,1475.6166666666666,13401.0,0.02356822351027752,0.1550019040032606,0.23708871115291635,-14854.849166666667,16556.93625,computed,NULL
p95_latency,csm_v4_vs_hippo_rag,60,-3601.116666666667,9578.5,-0.06263578386711453,0.2450608330229457,0.3480671721781949,-18783.494583333333,10632.254166666657,computed,NULL
p95_latency,csm_v4_vs_csm,60,-13770.233333333334,-23079.5,-0.24064167367518494,0.027340133868077935,0.05030195448326083,-28717.14833333333,72.57666666666364,computed,NULL
