adjusted_p_value,ci_high,ci_low,comparison,effect_size,mean_difference,median_difference,metric_name,paired_sample_count,raw_p_value,reason,test_result
0.665472841810906,-12495.375000000047,-37610.555,csm_vs_hybrid_rag,-0.8696485544245315,-25455.3,-1053.5,p95_latency,20,0.5034446716308594,,computed
0.45856418031634705,2673.2374999999997,357.4775,csm_vs_graph_rag,0.5100313997475906,1445.35,385.0,p95_latency,20,0.26317596435546875,,computed
0.08814423172562211,2266.1724999999997,822.69375,csm_vs_hippo_rag,0.8248232562304647,1491.75,724.0,p95_latency,20,0.04138946533203125,,computed
2.7418136596679688e-05,-104631.54125000001,-110114.075,csm_vs_long_context,-16.09935335513128,-107463.3,-108284.0,processing_latency_ms,20,1.9073486328125e-06,,computed
2.437167697482639e-05,-86639.76625,-101386.20749999999,csm_vs_rolling_summary,-5.272122640107233,-93795.25,-93583.5,processing_latency_ms,20,1.9073486328125e-06,,computed
2.193450927734375e-05,-51463.356250000004,-66347.64125,csm_vs_dense_rag,-3.267323555289275,-58566.6,-59687.0,processing_latency_ms,20,1.9073486328125e-06,,computed
0.6579106504266913,-12495.375000000047,-37610.555,csm_vs_hybrid_rag,-0.8696485544245315,-25455.3,-1053.5,processing_latency_ms,20,0.5034446716308594,,computed
0.4517199388190882,2673.2374999999997,357.4775,csm_vs_graph_rag,0.5100313997475906,1445.35,385.0,processing_latency_ms,20,0.26317596435546875,,computed
0.0865416093306108,2266.1724999999997,822.69375,csm_vs_hippo_rag,0.8248232562304647,1491.75,724.0,processing_latency_ms,20,0.04138946533203125,,computed
1.994046297940341e-05,-104631.54125000001,-110114.075,csm_vs_long_context,-16.09935335513128,-107463.3,-108284.0,provider_generation_latency_ms,20,1.9073486328125e-06,,computed
1.8278757731119793e-05,-86639.76625,-101386.20749999999,csm_vs_rolling_summary,-5.272122640107233,-93795.25,-93583.5,provider_generation_latency_ms,20,1.9073486328125e-06,,computed
1.6872699444110578e-05,-51463.356250000004,-66347.64125,csm_vs_dense_rag,-3.267323555289275,-58566.6,-59687.0,provider_generation_latency_ms,20,1.9073486328125e-06,,computed
0.6505183959275149,-12495.375000000047,-37610.555,csm_vs_hybrid_rag,-0.8696485544245315,-25455.3,-1053.5,provider_generation_latency_ms,20,0.5034446716308594,,computed
0.44507699854233684,2673.2374999999997,357.4775,csm_vs_graph_rag,0.5100313997475906,1445.35,385.0,provider_generation_latency_ms,20,0.26317596435546875,,computed
0.08499622344970703,2266.1724999999997,822.69375,csm_vs_hippo_rag,0.8248232562304647,1491.75,724.0,provider_generation_latency_ms,20,0.04138946533203125,,computed
1.5667506626674106e-05,-25.22375,-29.12625,csm_vs_long_context,-5.835258693620523,-27.1,-25.0,retrieval_activation_latency_ms,20,1.9073486328125e-06,,computed
1.4623006184895834e-05,-23.1,-27.12625,csm_vs_rolling_summary,-5.0693325246622924,-25.1,-23.5,retrieval_activation_latency_ms,20,1.9073486328125e-06,,computed
0.00028302592615927417,-2.8,-5.87625,csm_vs_dense_rag,-1.1994231482741562,-4.3,-3.5,retrieval_activation_latency_ms,20,7.62939453125e-05,,computed
0.0017046247209821428,-2.123750000000001,-5.37625,csm_vs_hybrid_rag,-0.9569795027259111,-3.75,-3.5,retrieval_activation_latency_ms,20,0.000518798828125,,computed
1.3709068298339844e-05,-26.92375,-30.0,csm_vs_graph_rag,-7.859646364314538,-28.45,-28.0,retrieval_activation_latency_ms,20,1.9073486328125e-06,,computed
1.2902652516084559e-05,-12.85,-16.97625,csm_vs_hippo_rag,-2.8605874896955887,-14.95,-14.0,retrieval_activation_latency_ms,20,1.9073486328125e-06,,computed
0.020893895348837208,0.062295138888888886,0.01875,csm_vs_long_context,0.764083362571078,0.03805555555555556,0.0,retrieval_precision,20,0.0078125,,computed
0.09894387763843202,-0.03686773989898992,-0.19476357323232324,csm_vs_rolling_summary,-0.6530182226570699,-0.12046717171717172,-0.08636363636363636,retrieval_precision,20,0.049041748046875,,computed
